================ Training Loss (Thu Jul 25 15:44:15 2024) ================
(epoch: 5, iters: 20, time: 0.019, data: 0.063) G_GAN: 0.546 G_L1: 36.458 D_real: 0.870 D_fake: 0.131 
(epoch: 185, iters: 20, time: 0.019, data: 0.077) G_GAN: 1.427 G_L1: 10.711 D_real: 0.212 D_fake: 0.332 
(epoch: 190, iters: 20, time: 0.019, data: 0.088) G_GAN: 0.820 G_L1: 3.536 D_real: 0.278 D_fake: 0.799 
(epoch: 195, iters: 20, time: 0.020, data: 0.085) G_GAN: 0.777 G_L1: 4.494 D_real: 0.163 D_fake: 0.758 
(epoch: 200, iters: 20, time: 0.270, data: 0.089) G_GAN: 1.093 G_L1: 10.915 D_real: 0.248 D_fake: 0.441 
================ Training Loss (Thu Jul 25 16:51:30 2024) ================
(epoch: 5, iters: 20, time: 0.019, data: 0.068) G_GAN: 1.666 G_L1: 15.946 D_real: 0.260 D_fake: 0.498 
(epoch: 10, iters: 20, time: 0.019, data: 0.089) G_GAN: 0.965 G_L1: 9.736 D_real: 0.624 D_fake: 0.315 
(epoch: 15, iters: 20, time: 0.019, data: 0.090) G_GAN: 1.464 G_L1: 12.319 D_real: 0.317 D_fake: 0.871 
(epoch: 20, iters: 20, time: 0.067, data: 0.097) G_GAN: 1.414 G_L1: 14.166 D_real: 0.479 D_fake: 0.140 
(epoch: 25, iters: 20, time: 0.019, data: 0.090) G_GAN: 0.921 G_L1: 7.050 D_real: 1.515 D_fake: 0.168 
================ Training Loss (Thu Jul 25 16:52:34 2024) ================
(epoch: 5, iters: 20, time: 0.019, data: 0.095) G_GAN: 1.341 G_L1: 19.045 D_real: 0.586 D_fake: 0.284 
(epoch: 10, iters: 20, time: 0.019, data: 0.077) G_GAN: 1.477 G_L1: 8.396 D_real: 0.601 D_fake: 0.075 
================ Training Loss (Thu Jul 25 16:53:34 2024) ================
(epoch: 5, iters: 20, time: 0.019, data: 0.068) G_GAN: 1.609 G_L1: 18.972 D_real: 0.355 D_fake: 0.171 
(epoch: 10, iters: 20, time: 0.019, data: 0.085) G_GAN: 2.249 G_L1: 16.113 D_real: 0.101 D_fake: 0.280 
(epoch: 15, iters: 20, time: 0.019, data: 0.095) G_GAN: 1.011 G_L1: 8.493 D_real: 0.207 D_fake: 1.013 
(epoch: 20, iters: 20, time: 0.068, data: 0.102) G_GAN: 1.791 G_L1: 12.924 D_real: 0.363 D_fake: 0.206 
(epoch: 25, iters: 20, time: 0.019, data: 0.096) G_GAN: 1.460 G_L1: 10.703 D_real: 0.301 D_fake: 0.803 
(epoch: 30, iters: 20, time: 0.019, data: 0.085) G_GAN: 1.274 G_L1: 8.557 D_real: 0.747 D_fake: 0.236 
(epoch: 35, iters: 20, time: 0.019, data: 0.090) G_GAN: 0.530 G_L1: 6.525 D_real: 0.718 D_fake: 0.429 
(epoch: 40, iters: 20, time: 0.082, data: 0.088) G_GAN: 1.504 G_L1: 9.599 D_real: 0.315 D_fake: 0.898 
(epoch: 45, iters: 20, time: 0.019, data: 0.106) G_GAN: 1.413 G_L1: 19.502 D_real: 0.307 D_fake: 0.281 
(epoch: 50, iters: 20, time: 0.019, data: 0.089) G_GAN: 1.461 G_L1: 18.565 D_real: 0.165 D_fake: 0.541 
(epoch: 55, iters: 20, time: 0.019, data: 0.090) G_GAN: 1.684 G_L1: 7.735 D_real: 0.646 D_fake: 1.001 
================ Training Loss (Thu Jul 25 16:54:09 2024) ================
(epoch: 5, iters: 20, time: 0.019, data: 0.076) G_GAN: 1.741 G_L1: 12.042 D_real: 0.327 D_fake: 0.518 
(epoch: 10, iters: 20, time: 0.019, data: 0.079) G_GAN: 1.875 G_L1: 12.296 D_real: 0.463 D_fake: 0.090 
(epoch: 15, iters: 20, time: 0.019, data: 0.096) G_GAN: 1.501 G_L1: 11.037 D_real: 0.159 D_fake: 0.593 
